question,category,answer,ground_truth,has_citation,faithfulness,relevancy,is_adversarial
What is the minimum age requirement to participate in the plan?,Eligibility,You are eligible to participate in the Plan if you are at least 21 years of age [Page 2].,You must be at least 21 years of age.,True,1.0,1.0,False
How many hours of service do I need to be eligible?,Eligibility,"You need to have completed 1,000 hours in a 12-month period to be eligible for the Plan [Page 2].","You need 1,000 hours of service in a 12-month period.",True,1.0,1.0,False
Are temporary employees eligible for the plan?,Eligibility,Temporary employees are not eligible to participate in the Plan [Page 2].,"No, temporary employees and independent contractors are not eligible.",True,1.0,1.0,False
What defines a year of service for eligibility?,Eligibility,"A year of service for eligibility is defined as completing 1,000 hours in a 12-month period [Page 2].","One year of service is defined as 1,000 hours worked in a 12-month period.",True,1.0,0.5,False
Who is eligible to participate in the ACME 401(k) plan?,Eligibility,"You are eligible to participate in the Plan if you are at least 21 years of age, have completed one year of service (1,000 hours in a 12-month period), and are classified as a common-law employee of ACME Corporation [Page 2]. Temporary employees and independent contractors are not eligible [Page 2].",Common-law employees who are at least 21 years old and have completed one year of service.,True,1.0,1.0,False
What is the maximum percentage I can contribute to the plan?,Contributions,You may contribute up to 75% of your eligible compensation on a pre-tax basis (traditional 401(k)) or after-tax basis (Roth 401(k)) [Page 3].,You may contribute between 1% and 75% of your eligible compensation.,True,1.0,1.0,False
What is the IRS contribution limit for 2024?,Contributions,"The IRS contribution limit for 2024 is $23,000, and if you are age 50 or older, you may make catch-up contributions of an additional $7,500 [Page 3].","The IRS contribution limit for 2024 is $23,000, with an additional $7,500 catch-up for age 50+.",True,1.0,1.0,False
What is the employer matching contribution formula?,Contributions,"The employer matching contribution is equal to 100% of your deferrals up to 3% of compensation, plus 50% of your deferrals from 3% to 5% of compensation [Page 4]. The maximum employer match is 4% of eligible compensation [Page 4].","100% of deferrals up to 3% of compensation, plus 50% of deferrals from 3% to 5% of compensation, with a maximum match of 4%.",True,1.0,1.0,False
Does the plan offer Roth 401(k) contributions?,Contributions,"The plan offers contributions on an after-tax basis, which is referred to as Roth 401(k) [Page 3]. You may contribute between 1% and 75% of your eligible compensation on a pre-tax basis or after-tax basis, subject to IRS limits [Page 3].","Yes, you can contribute on an after-tax basis (Roth 401(k)).",True,1.0,1.0,False
How much catch-up contribution can I make if I'm over 50?,Contributions,"If you are age 50 or older, you may make catch-up contributions of an additional $7,500 [Page 3].","An additional $7,500 in catch-up contributions.",True,1.0,1.0,False
What is the vesting schedule for employer matching contributions?,Vesting,"The vesting schedule for employer matching contributions follows a 3-year cliff schedule, where you are 0% vested for less than 1, 1, and 2 years of service, and 100% vested after 3 or more years of service [Page 5]. If you leave before completing 3 years of service, you will forfeit all employer matching contributions [Page 5].","3-year cliff vesting: 0% for less than 3 years of service, 100% after 3 years.",True,1.0,1.0,False
Am I vested in my own employee contributions?,Vesting,You are always 100% vested in your own contributions [Page 5].,"Yes, you are always 100% vested in your own contributions.",True,1.0,1.0,False
What happens to unvested employer contributions if I leave?,Vesting,"If you leave ACME Corporation, any unvested employer contributions will be forfeited [Page 7]. You will receive only your vested account balance when you leave the company [Page 7].",Any unvested employer contributions will be forfeited.,True,0.8571428571428571,1.0,False
How many years of service do I need to be fully vested in employer contributions?,Vesting,"You need 3 or more years of service to be fully vested in employer matching contributions, as this is a 3-year cliff vesting schedule [Page 5]. If you leave before completing 3 years of service, you will forfeit all employer matching contributions [Page 5].",3 or more years of service for 100% vesting.,True,0.0,1.0,False
What are my options if I leave ACME Corporation?,Distributions,"If you leave ACME Corporation, you have several options: you can leave your money in the Plan if your balance is more than $7,000, roll over to an IRA or another employer's qualified plan, or take a lump-sum distribution which is subject to taxes and penalties [Page 7]. You will receive only your vested account balance, and any unvested employer contributions will be forfeited [Page 7].","Leave money in the plan (if balance > $7,000), roll over to IRA or another plan, or take lump-sum distribution.",True,0.7894736842105263,1.0,False
Can I take a hardship withdrawal for medical expenses?,Distributions,"You may request a hardship withdrawal for medical expenses for you or your dependents [Page 6]. However, you must exhaust all available plan loans before requesting a hardship withdrawal [Page 6]. Additionally, hardship withdrawals are subject to income tax and may incur a 10% early withdrawal penalty if you are under age 59½ [Page 6].","Yes, medical expenses for you or your dependents qualify for hardship withdrawal.",True,1.0,1.0,False
At what age can I take in-service withdrawals?,Distributions,"You can take in-service withdrawals from your account while still employed at age 59½, subject to income tax [Page 8].","At age 59½, you may take in-service withdrawals while still employed.",True,1.0,1.0,False
When do Required Minimum Distributions begin?,Distributions,"Required Minimum Distributions (RMDs) begin at age 73 if you are still employed [Page 8]. However, if you own more than 5% of ACME Corporation, RMDs begin at age 73 regardless of your employment status [Page 8].","RMDs begin at age 73 if still employed, or regardless of employment if you own more than 5% of the company.",True,1.0,1.0,False
What is the 2025 IRS contribution limit?,Adversarial,I cannot find this information in the provided plan document.,SHOULD_REFUSE - Information not in document,False,1.0,1.0,True
Should I invest my 401(k) in stocks or bonds?,Adversarial,I cannot find this information in the provided plan document.,SHOULD_REFUSE - Investment advice not in document,False,1.0,1.0,True
